org_name,last_updated,neighborhood,address,latitude,longitude,site_updates,currently_open_for_receiving,opening_for_receiving,closing_for_receiving,currently_open_for_distributing,opening_for_distributing,closing_for_distributing,urgent_need,accepting,not_accepting,seeking_volunteers,seeking_translators,hot_meals,legal_support,covid_testing,pet_vaccination_health,pet_food,housing_support,food_delivery,wheelchair_accessible,elder,youth,baby_toddler,immigration_naturalization,eye_exams,dental,transportation_vouchers,clothing,insurance_not_needed,refugee_services,vaccinations_general,mental_health_services,healing_resources,art_resources,community_service,education,lgbtqia_supportive,qtibpoc_supportive,trans_supportive,black_run,indigenous_owned,community_run,spanish_speaking,somali_speaking,karen_speaking,memorial_space,medic_on_site,protest,seeking_money,seeking_money_url,delivery_only,distribution_to_residents_only,restricted_distribution,produce,household_supplies,needle_exchange,warming_site,no_id_needed,some_info_required,by_appointment,black_own,indigenous_run,public_transit,COVID_Vaccination
Open Cupboard (formerly CCEFS) / Today's Harvest,8/28/2023 9:56pm,East Suburbs,"8264 4th Street North, Oakdale, MN 55128",44.9504915,-92.9394102,"CLOSED Monday, September 4th for Labor Day.
-----

Today's Harvest free market
Monday-Friday: 10:30am - 6pm
Saturday: 10:30am - 2:30pm

Today's Harvest is a free market that provides fresh produce, meat, dairy, and bakery items we rescue each day from local grocery stores, farms, and other partners. You are welcome to visit Today’s Harvest once a day.

You will not need to provide any documentation to receive food. We will ask for your household size and zip code. You can choose to provide your phone number to make your next trip easier. All information will be confidential.

More information on Today's Harvest Market: https://todaysharvestmn.org/ 

• Drive-up Service available Thursdays and Fridays.
• Delivery to those in Washington and Ramsey Counties Monday, Tuesday, and Wednesday.
• Mobile Food Shelf delivers to seven senior living facilities and Landfall Mobile Home Park.

More information on all Open Cupboard programs: https://opencupboard.org/about-us/our-programs/ 

Donations accepted*:
Mondays: 8am-6pm
Tuesdays/Wednesdays: 9am-6pm
Wednesdays: 10am-6pm
Thursdays: 10am-2pm
Fridays: 8am-10am, 2pm-6pm
https://opencupboard.org/donations/donation-hours/ 

Donation Notes
To drop off donations, head to the back of our building and ring the doorbell.

Please do not leave bags or boxes of food outside our door – the squirrels might get to them before we do.

* Garden/Farm (Today's Harvest) Donation encouraged to come within the following hours to allow for any extra processing time:
Mondays: 8:30 am-4:00 pm
Tuesdays: 10:00 am-3:00 pm
Wednesdays: 9:00 am-1:30 pm
Thursdays: 9:00 am-6:00 pm
Fridays: 8:30 am-1:30 pm",no,----,,no,----,,,"(as of 5/2023)
Financial donations: https://opencupboard.org/donations/financial-donations/ 

Food: https://opencupboard.org/donations/donate-food/ 
Below is a list of items that are not always available from food banks and are our current most needed items:

• Fruits and Veggies: fresh from the garden produce, and low sodium/low sugar canned fruits and veggies
• Grains: oatmeal–packets and large containers, gluten free items, and pasta like penne, rigatoni
• Cooking: spices, olive oil, coconut oil, cooking oil, baking powder, baking soda, brown sugar, Worcestershire sauce, barbecue sauce, salad dressing, fish sauce, oyster sauce, sesame oil, boxed milk–shelf stable milk, milk alternatives, evaporated milk, and sweetened condensed milk
• Misc. Food: coffee, tea, soups like Progresso and Chunky Campbells (Hearty pop-top style soups), and microwaveable meals–soups, ravioli, chili, lentils
• Personal Care: Baby diapers (Newborn-Size 6), Pull-Ups (2T-5T), adult diapers, incontinence pads, baby wipes, pads and tampons, shampoo, and body wash
• Household Items: Ziplocks and other resealable bags, laundry detergent, dish soap, cleaning spray, paper towels, toilet paper and napkins
• Misc. Other: dog and cat treats, and paper bags from grocery stores (not lunch bags)","(as of 5/2023) 
Refrigerated or frozen items
Open containers of food
Bread
Expired foods
Feeding tube supplies
Plastic grocery bags
","(as of 1/2023) Yes, find volunteering info here: https://opencupboard.org/volunteers/",,,,,,,,checked,,,,,,,,,,,,,,,,,,checked,checked,checked,,,,checked,checked,,,,,checked,https://4agc.com/donation_pages/a79ddf42-414a-4931-b056-2749d99240e5,,,,checked,,,,checked,,,,,,
Clinic 555,8/16/2023 11:52am,Lowertown,"555 Cedar Street, Saint Paul, MN 55101",44.9506989,-93.0982894,"Anonymous syringe exchange / needle exchange and disposal, Naloxone / Narcan, HIV testing, Hepatitis C testing, Hepatitis A vaccination, syphilis testing, covid vaccination, and connection to community resources.

Monday: 1 pm - 4:30pm
Tuesday: 1 pm - 6:30pm
Wednesday: 1 pm - 4:30pm
Thursday: 1 pm - 6:30pm
Friday: 10 am- 1 pm

Walk-ins are okay. Located in Saint Paul - Ramsey County Public Health Center, enter through door 3.
https://www.ramseycounty.us/residents/health-medical/clinics-services/sexual-reproductive-health/syringe-exchange ",no,----,,no,----,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,"Green-GREENLINE-(1 block),3-BUS-(2 blocks),16-BUS-(2 blocks),62-BUS-(2 blocks),67-BUS-(2 blocks),75-BUS-(2 blocks)",
CLUES Minneapolis-Canasta Familiar,11/1/2023 10:04pm,Phillips West,"777 East Lake Street, Minneapolis, MN 55407 ",44.9482469,-93.2630367,"Miércoles / Wednesdays: 2pm - 5pm 

Canasta Familiar will distribute free food every Wednesday at CLUES Minneapolis from 2 pm to 5 pm; no registration is necessary. Food will be distributed on a first-come, first-served basis and while supplies last. 
Traffic guidelines: https://clues.org/wp-content/uploads/2020/10/CANASTA-FAMILIAR-Winter-Food-Distribution-Update_ENG-SPAN.pdf

The Canasta Familiar is a free food distribution program that includes fruits, vegetables, and other fresh groceries. Foods may vary according to availability. 

Remember that if you are sick or someone in your family is sick, please refrain from coming to Canasta. You can send someone on your behalf to pick up your food. It is important to wear a mask and keep all 6 feet away to help reduce the spread of the Coronavirus.",no,----,,no,----,,,Financial donations: https://clues.org/get-involved/donate/,,"Yes, please sign up here:  https://clues.org/get-involved/volunteer-at-clues/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,checked,https://clues.org/get-involved/donate/,,,,checked,,,,,,,,,"21-BUS-(2 blocks),5-BUS-(3 blocks)",
CLUES St. Paul-Canasta Familiar,11/1/2023 10:03pm,Frogtown,"771 Margaret Street, St. Paul, MN 55106",44.9620700,-93.0685700,"Lunes / Mondays 3pm - 5pm

Canasta Familiar will now distribute free food every Monday at CLUES St. Paul from 3pm to 5pm; no registration is necessary. Food will be distributed on a first-come, first-served basis and while supplies last. 
Traffic guidelines: https://clues.org/wp-content/uploads/2020/10/CANASTA-FAMILIAR-Winter-Food-Distribution-Update_ENG-SPAN.pdf

The Canasta Familiar is a free food distribution program that includes fruits, vegetables, and other fresh groceries. Foods may vary according to availability. 

Remember that if you are sick or someone in your family is sick, please refrain from coming to Canasta. You can send someone on your behalf to pick up your food. It is important to wear a mask and keep all 6 feet away to help reduce the spread of the Coronavirus.

Conforme pasa la primavera, COVID-19 sigue siendo una preocupación, nosotros en Comunidades Latinas Unidas En Servicio - CLUES Canasta Familiar, queremos seguir proporcionando acceso a alimentos saludables y culturalmente apropiados a nuestros participantes latinos y a la comunidad local; mientras aseguramos el bienestar y la seguridad de nuestros vecinos, voluntarios y la comunidad.
Hemos cambiado nuestro modelo de distribución de alimentos de CLUES St. Paul al formato Drive-Thru el cual se lleva a cabo en nuestro estacionamiento. Estos cambios mejorarán el flujo de tráfico, eliminarán las molestias e interrupciones a nuestros vecinos, y resolverán los problemas de las inclemencias del tiempo.
Más info: https://bit.ly/3e9qL0N",no,----,,no,----,,,Financial donations: https://clues.org/get-involved/donate/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,checked,https://clues.org/get-involved/donate/,,,,checked,,,,,,,,,"61-BUS-(2 blocks),74-BUS-(2 blocks)",
Community Aid Network MN (CANMN),6/14/2024 5:48pm,Bancroft,"4120 17th Ave S, Minneapolis, MN 55407",44.9283214,-93.2503523,"Accepting donations: 
Mondays 12pm - 2pm 
Thursdays 5pm - 7pm

Distribution: 
Mondays 12pm - 2pm 
Thursdays 5pm - 7pm

Delivery available on Saturdays (with appointments requested the Sunday before). Fill out the request form here: https://canmn.vercel.app/

If you are donating a large number of perishable items or need to drop off at a time outside of our normal drop-off hours, please contact us at communityaidnetworkmn@gmail.com. 

Instagram: https://www.instagram.com/communityaidnetworkmn/ 
Website: https://www.canmn.org/ 

CANMN is a project started by folks from Pimento Community Relief, The People's Library, and Provision Community Restaurant! ",no,----,,no,----,,"(as of 18 May 2024)
These are things we can literally never have too much of:
• Diapers! Sizes 1-7, T2-T4
• Baby wipes
• Liquid dish soap
• Laundry detergent pods or small liquid detergents
• Shampoo
• Conditioner
• Toilet Paper
• Flour
• Cooking oil
• Pads","(as of 18 May 2024)
Food:
Fresh vegetables, fresh fruit, eggs, milk, butter, cheese, bread, pastries, tortillas, frozen & unfrozen meat, frozen vegetables, frozen meals, canned goods (soups, vegetables, beans, fruit, milk), pasta, pasta sauce, rice, peanut butter, snacks (cookies, granola bars, crackers, chips), flour, sugar, cooking oil, coffee, tea, juice

Note: When possible, please drop off perishables on Mondays only so that they can be distributed by their best by date.

Baby supplies:
Diapers (sizes N-7, 2T-5T), baby wipes, diaper rash ointment, baby lotion, infant formula, baby food.

Personal care items:
Hand soap, body soap, shampoo, conditioner, pads, incontinence underwear, condoms, shaving cream, razors, deodorant, lotion, toothpaste, toothbrushes.

Household supplies:
Dish soap (liquid only), laundry detergent (pods or liquid travel size), all-purpose cleaner (wipes, spray, liquid), toilet paper (preferably either individually wrapped or in packs of 4 or less), paper towels (preferably either individually wrapped or in packs of 2), tissue boxes

First Aid:
Masks, pain medication, band-aids, hand sanitizer, antibiotic ointment, seasonal medication (cold, cough, allergy), children’s medicine, first-aid kits.

Operational supplies:
Ziploc bags (sandwich & quart), disposable masks, disinfectant wipes, hand sanitizer, disposable gloves (sizes medium, large & xl), paper grocery bags (with handles!), plastic bags 

https://www.canmn.org/donate-supplies",,"(as of 18 May 20243) Yes, for distribution help on Mondays from 11:30am - 2pm and Thursdays 4:30pm - 7:30pm, and delivery driving on Saturdays. 

Learn More: https://www.canmn.org/volunteer 

Sign up here: https://calendly.com/communityaidnetworkmn-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.canmn.org/donate,,,,,checked,,,checked,,,,,"14-BUS-(2 blocks),46-BUS-(3 blocks)",
Community Covenant Church,1/18/2024 12:45am,Near North,"901 N Humboldt Ave, Minneapolis, MN 55411",44.9873860,-93.2989250,"Food shelf every 
3rd Wednesday of every month: 12pm - 1:30pm. 

Supplies go to community on need-by-need basis.",no,----,,no,----,,,Financial donations: https://www.covchurchgiving.com/c-198-community-covenant-church-minneapolis-mn.aspx#ways-donate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.covchurchgiving.com/c-198-community-covenant-church-minneapolis-mn.aspx#ways-donate,,,,,,,,,,,,,7-BUS-(3 blocks),
Community Emergency Service (CES) ,4/14/2024 11:35pm,Ventura Village,"1900 11th Ave S, Minneapolis, MN 55404",44.9637369,-93.2585256,"Monday, 1pm-4pm [Appointment only]
Tuesday, 1pm-4pm [Appointment only]
Wednesday, 1pm-6pm [Appointment only]
Friday, 1pm-3pm [First-come, first served] 

You may visit the food shelf 1 time per month. 
Learn more: https://cesmn.org/visit-the-food-shelf/

Home delivery is designed for our neighbors in the Phillips area who are low income and unable to physically visit the food pantry. Food is delivered free of charge, once a month.
For more info, call 612-870-1125 or email us: CES@cesmn.org

Donations accepted M-F 9am – 12pm. Please use the call box to the left of the front glass doors and someone will assist you.

For donations of 20 or more grocery bags, we ask that you set-up a drop-off appointment by calling 612-870-1125 or by emailing our Reception Coordinator, Alyssa Martinson, at amartinson@cesmn.org.

If you are not feeling well or just prefer curbside pickup, please call 612-870-1125 to place your order over the phone and set an appointment for pick-up.

Financial donations support Food Shelf, Meals on Wheels, Home Delivery, Ani-Meals and can be made here https://cesmn.org/donate-money/",no,----,,no,----,,"High-need items: 
– Pasta Sauce
– Meat Chilis and Beef Stews
– Ramen Noodles (Chicken Flavor)
– Cereal
– Instant Oatmeal
– Honey
– Snack Crackers
– Hearty/Chunky Soups
– Peanut Butter
– Shelf-stable Coconut and Almond Milk ","Food Items:
– Cooking oils: vegetable, olive
– Sugar (2 lb bags)
– Flour (2 lb bags)
– Ground Coffee (small bags)
– Regular Black Tea
– White Rice
– Applesauce
– Canned Peas and Canned Carrots
– Canned Tuna and Sardines
– Peanut Butter
– Sliced Bread
– Spices: Salt, Pepper, Garlic Powder, Onion Powder, Chilli Powder, Cumin, Turmeric, Ginger, Curry Powder
– Dry Lentils
– Dry Black Beans
– Dry Black-Eyed Peas
– Dry Great Northern Beans
– Diced Tomatoes (plain)
– Canned Hominy
– Maseca Flour
– Fish Sauce
– Rice Noodles

Hygiene and household items:
Laundry detergent (smaller bottles or laundry pods)
Dish soap
Shampoo and Conditioner (gender-neutral scents preferred)
Body Wash and Soaps (unscented, mild or gender-neutral scents preferred)
Hair oils and creams for textured, curly, and natural hair types
Maxi-Pads
Toothpaste and Toothbrushes
Paper Towels
Kleenex
Toilet Paper
Deodorant
Shave cream and razors

Pet Needs: 
Pet food for dogs or cats, cat litter","We do not accept:
Extra-large or bulk-sized food
Perishable items such as meat, eggs, dairy, frozen meals, or deli foods
Opened packages, partially used food items, expired foods, homemade foods or baked goods",Yes. Find volunteering info at https://cesmn.org/volunteer/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://cesmn.org/donate-money/,,checked,,checked,,,,checked,checked,,,,"14-BUS-(1 block),2-BUS-(2 blocks),9-BUS-(2 blocks)",
COVID Testing/Vaccines: Southside Community Health Services ,7/12/2023 10:53am,Central,"324 E 35th St, Minneapolis, MN 55408",44.9400780,-93.2711230,"Southside Clinic is on the front lines delivering vaccines and boosters to our community
Appointments Fridays 8 am-4:30 pm
Walk-ins welcome Monday-Friday 8 am-4 pm

We are currently administering Moderna and Pfizer to patients 6 months and older. Wear a mask, and don't forget to bring your vaccine card when you come in for a booster appointment!

Same-day COVID testing can be done for health care workers, first responders and essential workers. Call 612-827-7181 to schedule an appointment. The COVID-19 test is free, and you do not need insurance for the test.",no,----,,no,----,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18-BUS-(3 blocks),11-BUS-(1 block)",
Delightful Chiropractic - Cloth Diaper Drive,6/16/2022 7:18pm,SW Suburbs,"4201 Dean Lakes Blvd #140, Shakopee, MN 55379",44.7803363,-93.4660082,"Donations are accepted at this site during Delightful Chiropractic's business hours.

Accepting donations:
Monday - Thursday: 9:00am-6:30pm
Friday - Sunday: Closed",no,----,,no,----,,,"Cloth Diaper Supply donations can include: clean, good functioning cloth diapers (flats, covers, pockets, AIO, etc), trainers, snappis, wipes, wet bags, pail liners, other supplies to support cloth families!",Only accepting cloth diaper related items,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.mnclothdiaperbank.org/donate-5,,,,,,,,,,,,,499-BUS-(2 blocks),
Department of Indian Work Food Shelf (different from the Division of Indian Work),7/20/2022 10:26am,Northeast Suburbs,"3080 Centerville Rd, Little Canada, MN 55117",45.0409427,-93.0886809,"Open boundaries food shelf with healthy choices and referrals to other community-based resources and services with a focus on American Indian families, but all are welcome! Offering Fresh Fruits and vegetables, meat, pasta, cereal, culturally appropriate foods, diapers, and more.

Food Shelf Hours:
Monday: 1:00 – 6:00 pm
Tuesday: 9:30 am – 2:30 pm
Wednesday: 9:30 am – 2:30 pm
Thursday: 9:30 am – 2:30 pm
Friday: Closed

Donation Hours:
The same as food shelf hours, masks required inside of the building

Deliveries are offered, but please allow up to 48 business hours (delivery may not be available in all areas.)
Place your order online: https://bit.ly/36NvvH3

New client intake forms can be found here:
https://interfaithaction.org/what-we-do/diw/emergency-services/
To arrange a no-contact donation drop-off, contact Theresa: thalvorson-lee@interfaithaction.org
",no,----,,no,----,,"Healthy snacks, Paper Bags and food easily prepared for unhoused","Nonperishable unopened, unexpired food donations, all sizes of clean, unripped, non-torn or stained Hanger ready clothing for our FREE clothing closet!

Monetary donations: https://secure.givelively.org/donate/interfaith-action-of-greater-saint-paul/department-of-indian-work ","Household items, furniture, and expired foods","Yes, sign up here: https://interfaithaction.org/get-involved/volunteer/diw_volunteer-application/ or contact the Emergency Services Coordinator, Theresa at 651-789-3864",,,,,,,,checked,,,,,,,,,checked,,,,,,,checked,,,checked,,,,,,,,,,,checked,https://interfaithaction.org/donate/,,,checked,,checked,,,checked,,,,,"84-BUS-(2 blocks),63-BUS-(2 blocks)",
